panel,outcome,stage_level,years,predicted
mri_amyloid,CDRSUM,Stage 6,4.121,3.8794
mri_amyloid,CDRSUM,Stage 6,4.379,4.0886
mri_amyloid,CDRSUM,Stage 6,4.638,4.2978
mri_amyloid,CDRSUM,Stage 6,4.897,4.5069
mri_amyloid,CDRSUM,Stage 6,5.155,4.7161
mri_amyloid,CDRSUM,Stage 6,5.414,4.9252
mri_amyloid,CDRSUM,Stage 6,5.672,5.1344
mri_amyloid,CDRSUM,Stage 6,5.931,5.3435
mri_amyloid,CDRSUM,Stage 6,6.19,5.5527
mri_amyloid,CDRSUM,Stage 6,6.448,5.7619
mri_amyloid,CDRSUM,Stage 6,6.707,5.971
mri_amyloid,CDRSUM,Stage 6,6.966,6.1802
mri_amyloid,CDRSUM,Stage 6,7.224,6.3893
mri_amyloid,CDRSUM,Stage 6,7.483,6.5985
mri_amyloid,CDRSUM,Stage 6,7.741,6.8077
mri_amyloid,CDRSUM,Stage 6,8.0,7.0168
